Дата;Цена
18.10.2021;36969
19.10.2021;37612
20.10.2021;37484
21.10.2021;36692
22.10.2021;36862
23.10.2021;36862
24.10.2021;36862
25.10.2021;37278
26.10.2021;37631
27.10.2021;37695
28.10.2021;36639
29.10.2021;35843
30.10.2021;35843
31.10.2021;35843
01.11.2021;37409
02.11.2021;37514
03.11.2021;37181
04.11.2021;37181
05.11.2021;36293
06.11.2021;36293
07.11.2021;36293
08.11.2021;36149
09.11.2021;35983
10.11.2021;35536
11.11.2021;35834
12.11.2021;35264
13.11.2021;35264
14.11.2021;35264
15.11.2021;34731
16.11.2021;34029
17.11.2021;34355
18.11.2021;33680
19.11.2021;32944
20.11.2021;32944
21.11.2021;32944
22.11.2021;31286
23.11.2021;32316
24.11.2021;32252
25.11.2021;31946
26.11.2021;30531
27.11.2021;30531
28.11.2021;30531
29.11.2021;31796
30.11.2021;31680
01.12.2021;32824
02.12.2021;32620
03.12.2021;32135
04.12.2021;32135
05.12.2021;32135
06.12.2021;30651
07.12.2021;30904
08.12.2021;29292
09.12.2021;30342
10.12.2021;29580
11.12.2021;29580
12.12.2021;29580
13.12.2021;28255
14.12.2021;28299
15.12.2021;28122
16.12.2021;29797
17.12.2021;30143
18.12.2021;30143
19.12.2021;30143
20.12.2021;29367
21.12.2021;29528
22.12.2021;30142
23.12.2021;29936
24.12.2021;29907
25.12.2021;29907
26.12.2021;29907
27.12.2021;30047
28.12.2021;30094
29.12.2021;29790
30.12.2021;29872
31.12.2021;29872
01.01.2022;29872
02.01.2022;29872
03.01.2022;30858
04.01.2022;31025
05.01.2022;30217
06.01.2022;29652
07.01.2022;30232
08.01.2022;30232
09.01.2022;30232
10.01.2022;29365
11.01.2022;29478
12.01.2022;29463
13.01.2022;27560
14.01.2022;25956
15.01.2022;25956
16.01.2022;25956
17.01.2022;26232
18.01.2022;23580
19.01.2022;24472
20.01.2022;26377
21.01.2022;25173
22.01.2022;25173
23.01.2022;25173
24.01.2022;23717
25.01.2022;23393
26.01.2022;24151
27.01.2022;25485
28.01.2022;25993
29.01.2022;25993
30.01.2022;25993
31.01.2022;26803
01.02.2022;26564
02.02.2022;26126
03.02.2022;25550
04.02.2022;25690
05.02.2022;25690
06.02.2022;25690
07.02.2022;25907
08.02.2022;27150
09.02.2022;28135
10.02.2022;28144
11.02.2022;26836
12.02.2022;26836
13.02.2022;26836
14.02.2022;25819
15.02.2022;27229
16.02.2022;27954
17.02.2022;26184
18.02.2022;25103
19.02.2022;25103
20.02.2022;25103
21.02.2022;19924
22.02.2022;21622
23.02.2022;18500
24.02.2022;10756
25.02.2022;12981
26.02.2022;12981
27.02.2022;12981
28.02.2022;13089
01.03.2022;13089
02.03.2022;13089
03.03.2022;13089
04.03.2022;13089
05.03.2022;13089
06.03.2022;13089
07.03.2022;13089
08.03.2022;13089
09.03.2022;13089
10.03.2022;13089
11.03.2022;13089
12.03.2022;13089
13.03.2022;13089
14.03.2022;13089
15.03.2022;13089
16.03.2022;13089
17.03.2022;13089
18.03.2022;13089
19.03.2022;13089
20.03.2022;13089
21.03.2022;13089
22.03.2022;13089
23.03.2022;13089
24.03.2022;13587
25.03.2022;13000
26.03.2022;13000
27.03.2022;13000
28.03.2022;12603
29.03.2022;13122
30.03.2022;14140
31.03.2022;15011
01.04.2022;16074
02.04.2022;16074
03.04.2022;16074
04.04.2022;17215
05.04.2022;16032
06.04.2022;14862
07.04.2022;15294
08.04.2022;14915
09.04.2022;14915
10.04.2022;14915
11.04.2022;14340
12.04.2022;13976
13.04.2022;13962
14.04.2022;13298
15.04.2022;13417
16.04.2022;13417
17.04.2022;13417
18.04.2022;12687
19.04.2022;12346
20.04.2022;12374
21.04.2022;12139
22.04.2022;11995
23.04.2022;11995
24.04.2022;11995
25.04.2022;11444
26.04.2022;12449
27.04.2022;13415
28.04.2022;12637
29.04.2022;13137
30.04.2022;13137
01.05.2022;13137
02.05.2022;13137
03.05.2022;13137
04.05.2022;12527
05.05.2022;12666
06.05.2022;12499
07.05.2022;12499
08.05.2022;12499
09.05.2022;12499
10.05.2022;12499
11.05.2022;12539
12.05.2022;12095
13.05.2022;12195
14.05.2022;12195
15.05.2022;12195
16.05.2022;12502
17.05.2022;12945
18.05.2022;12682
19.05.2022;12698
20.05.2022;12343
21.05.2022;12343
22.05.2022;12343
23.05.2022;12052
24.05.2022;12487
25.05.2022;12512
26.05.2022;12378
27.05.2022;12222
28.05.2022;12222
29.05.2022;12222
30.05.2022;12170
31.05.2022;11901
01.06.2022;12251
02.06.2022;11945
03.06.2022;11991
04.06.2022;11991
05.06.2022;11991
06.06.2022;11939
07.06.2022;11878
08.06.2022;12037
09.06.2022;11850
10.06.2022;11837
11.06.2022;11837
12.06.2022;11837
13.06.2022;11837
14.06.2022;11924
15.06.2022;12128
16.06.2022;12314
17.06.2022;12760
18.06.2022;12760
19.06.2022;12760
20.06.2022;13467
21.06.2022;13230
22.06.2022;13695
23.06.2022;14000
24.06.2022;14104
25.06.2022;14104
26.06.2022;14104
27.06.2022;14446
28.06.2022;14309
29.06.2022;13565
30.06.2022;12752
01.07.2022;13329
02.07.2022;13329
03.07.2022;13329
04.07.2022;13470
05.07.2022;13595
06.07.2022;13641
07.07.2022;13493
08.07.2022;13546
09.07.2022;13546
10.07.2022;13546
11.07.2022;12895
12.07.2022;13133
13.07.2022;12821
14.07.2022;12801
15.07.2022;13071
16.07.2022;13071
17.07.2022;13071
18.07.2022;12996
19.07.2022;12931
20.07.2022;12809
21.07.2022;12721
22.07.2022;13069
23.07.2022;13069
24.07.2022;13069
25.07.2022;13316
26.07.2022;13434
27.07.2022;13435
28.07.2022;13330
29.07.2022;13335
30.07.2022;13335
31.07.2022;13335
01.08.2022;12890
02.08.2022;12906
03.08.2022;12814
04.08.2022;12824
05.08.2022;12346
06.08.2022;12346
07.08.2022;12346
08.08.2022;12489
09.08.2022;12715
10.08.2022;12713
11.08.2022;12446
12.08.2022;12578
13.08.2022;12578
14.08.2022;12578
15.08.2022;12568
16.08.2022;12717
17.08.2022;12551
18.08.2022;12715
19.08.2022;12590
20.08.2022;12590
21.08.2022;12590
22.08.2022;12686
23.08.2022;13123
24.08.2022;12877
25.08.2022;12880
26.08.2022;13087
27.08.2022;13087
28.08.2022;13087
29.08.2022;13177
30.08.2022;13063
31.08.2022;13475
01.09.2022;13850
02.09.2022;14451
03.09.2022;14451
04.09.2022;14451
05.09.2022;14138
06.09.2022;13766
07.09.2022;13764
08.09.2022;13764
09.09.2022;13828
10.09.2022;13828
11.09.2022;13828
12.09.2022;13819
13.09.2022;13756
14.09.2022;13890
15.09.2022;13952
16.09.2022;14063
17.09.2022;14063
18.09.2022;14063
19.09.2022;14067
20.09.2022;12768
21.09.2022;12304
22.09.2022;12675
23.09.2022;12127
24.09.2022;12127
25.09.2022;12127
26.09.2022;11167
27.09.2022;11350
28.09.2022;11209
29.09.2022;11056
30.09.2022;11003
01.10.2022;11003
02.10.2022;11003
03.10.2022;11570
04.10.2022;11285
05.10.2022;11024
06.10.2022;11008
07.10.2022;10499
08.10.2022;10499
09.10.2022;10499
10.10.2022;10772
11.10.2022;10873
12.10.2022;10739
13.10.2022;10789
14.10.2022;10908
15.10.2022;10908
16.10.2022;10908
17.10.2022;11383
18.10.2022;11468
19.10.2022;11257
20.10.2022;11763
21.10.2022;12012
22.10.2022;12012
23.10.2022;12012
24.10.2022;12036
25.10.2022;12590
26.10.2022;12585
27.10.2022;12829
28.10.2022;12800
29.10.2022;12800
30.10.2022;12800
31.10.2022;12742
01.11.2022;12836
02.11.2022;12828
03.11.2022;12649
04.11.2022;12649
05.11.2022;12649
06.11.2022;12649
07.11.2022;13283
08.11.2022;13225
09.11.2022;12955
10.11.2022;13687
11.11.2022;13772
12.11.2022;13772
13.11.2022;13772
14.11.2022;14077
15.11.2022;13877
16.11.2022;13979
17.11.2022;13836
18.11.2022;13701
19.11.2022;13701
20.11.2022;13701
21.11.2022;13384
22.11.2022;13625
23.11.2022;13739
24.11.2022;13735
25.11.2022;13682
26.11.2022;13682
27.11.2022;13682
28.11.2022;13620
29.11.2022;13716
30.11.2022;13595